D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.184873	-0.184873	0.009785	-1.868954	0.061629	1.847276	2.685209	4	South_RS	Mid_RS	North_RS	NS
-0.192962	-0.192962	0.011403	-1.806975	0.070766	1.168357	1.727062	4	South_RS	Mid_RS	BS	NS
-0.064517	-0.064517	0.021655	-0.438418	0.661084	1.847276	2.102075	4	South_RS	North_RS	Mid_RS	NS
0.305799	0.305799	0.006771	3.716381	0.000202	5.190828	2.759598	4	South_RS	North_RS	BS	NS
-0.490065	-0.490065	0.010267	-4.836562	0.000001	1.168357	3.414023	4	South_RS	BS	Mid_RS	NS
-0.284732	-0.284732	0.007542	-3.278559	0.001043	5.190828	9.323522	4	South_RS	BS	North_RS	NS
0.121809	0.121809	0.002321	2.528381	0.011459	2.685209	2.102075	4	Mid_RS	North_RS	South_RS	NS
0.065981	0.065981	0.019074	0.477750	0.632828	1.874748	1.642665	4	Mid_RS	North_RS	BS	NS
-0.328133	-0.328133	0.022462	-2.189385	0.028569	1.727062	3.414023	4	Mid_RS	BS	South_RS	NS
-0.306444	-0.306444	0.015272	-2.479752	0.013147	1.874748	3.531441	4	Mid_RS	BS	North_RS	NS
-0.543231	-0.543231	0.006957	-6.512878	0.000000	2.759598	9.323522	4	North_RS	BS	South_RS	NS
-0.365044	-0.365044	0.030331	-2.096066	0.036076	1.642665	3.531441	4	North_RS	BS	Mid_RS	NS
