D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
0.183781	0.183781	0.062075	0.737638	0.460735	4.849296	3.343597	4	South_RS	Mid_RS	North_RS	NS
0.131974	0.131974	0.029572	0.767453	0.442812	5.703794	4.373810	4	South_RS	Mid_RS	BS	NS
-0.075404	-0.075404	0.084284	-0.259731	0.795071	4.849296	5.640254	4	South_RS	North_RS	Mid_RS	NS
-0.021664	-0.021664	0.009506	-0.222203	0.824156	4.147263	4.330937	4	South_RS	North_RS	BS	NS
-0.462193	-0.462193	0.065885	-1.800657	0.071757	5.703794	15.507510	4	South_RS	BS	Mid_RS	NS
-0.633120	-0.633120	0.047476	-2.905674	0.003665	4.147263	18.460990	4	South_RS	BS	North_RS	NS
-0.255643	-0.255643	0.037521	-1.319769	0.186912	3.343597	5.640254	4	Mid_RS	North_RS	South_RS	NS
-0.189739	-0.189739	0.013247	-1.648552	0.099239	4.373926	6.422419	4	Mid_RS	North_RS	BS	NS
-0.560008	-0.560008	0.088657	-1.880782	0.060002	4.373810	15.507510	4	Mid_RS	BS	South_RS	NS
-0.577422	-0.577422	0.028903	-3.396439	0.000683	4.373926	16.327208	4	Mid_RS	BS	North_RS	NS
-0.619959	-0.619959	0.030758	-3.534977	0.000408	4.330937	18.460990	4	North_RS	BS	South_RS	NS
-0.435382	-0.435382	0.018248	-3.223045	0.001268	6.422419	16.327208	4	North_RS	BS	Mid_RS	NS
