D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.058664	-0.058664	0.000003	-36.256497	0.000000	65253.051487	73386.150385	61702	South_RS	Mid_RS	North_RS	NS
0.058987	0.058987	0.000004	31.470095	0.000000	56089.790124	49841.230767	53384	South_RS	Mid_RS	BS	NS
-0.038717	-0.038717	0.000002	-25.648522	0.000000	65253.051487	70509.421390	61015	South_RS	North_RS	Mid_RS	NS
0.029205	0.029205	0.000002	19.896989	0.000000	75478.070467	71194.519239	65052	South_RS	North_RS	BS	NS
-0.223989	-0.223989	0.000004	-111.497170	0.000000	56089.790125	88469.417261	55936	South_RS	BS	Mid_RS	NS
-0.232825	-0.232825	0.000003	-136.993092	0.000000	75478.070467	121290.842897	67421	South_RS	BS	North_RS	NS
0.019992	0.019992	0.000003	12.628325	0.000000	73386.150385	70509.421390	61778	Mid_RS	North_RS	South_RS	NS
-0.023253	-0.023253	0.000003	-14.648578	0.000000	61336.920264	64257.326278	61338	Mid_RS	North_RS	BS	NS
-0.279286	-0.279286	0.000004	-137.024517	0.000000	49841.230767	88469.417260	55574	Mid_RS	BS	South_RS	NS
-0.207314	-0.207314	0.000003	-117.876622	0.000000	61336.920264	93420.183979	62755	Mid_RS	BS	North_RS	NS
-0.260260	-0.260260	0.000003	-150.323411	0.000000	71194.519239	121290.842896	65997	North_RS	BS	South_RS	NS
-0.184953	-0.184953	0.000003	-104.653472	0.000000	64257.326278	93420.183979	61219	North_RS	BS	Mid_RS	NS
