D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.409657	-0.409657	0.151406	-1.052805	0.292430	0.853549	2.038155	3	South_RS	Mid_RS	North_RS	NS
0.179258	0.179258	0.005017	2.530756	0.011382	0.696408	0.484687	3	South_RS	Mid_RS	BS	NS
-0.050816	-0.050816	0.052192	-0.222433	0.823977	0.853549	0.944941	3	South_RS	North_RS	Mid_RS	NS
0.300929	0.300929	0.027939	1.800376	0.071801	0.985363	0.529497	4	South_RS	North_RS	BS	NS
-0.442884	-0.442884	0.071664	-1.654392	0.098048	0.696408	1.803637	3	South_RS	BS	Mid_RS	NS
-0.498064	-0.498064	0.048687	-2.257254	0.023992	0.985363	2.940886	4	South_RS	BS	North_RS	NS
0.366470	0.366470	0.106266	1.124195	0.260930	2.038155	0.944941	3	Mid_RS	North_RS	South_RS	NS
0.059051	0.059051	0.011407	0.552889	0.580339	0.720156	0.639847	4	Mid_RS	North_RS	BS	NS
-0.576383	-0.576383	0.048475	-2.617880	0.008848	0.484687	1.803637	3	Mid_RS	BS	South_RS	NS
-0.393859	-0.393859	0.054151	-1.692530	0.090545	0.720156	1.656045	4	Mid_RS	BS	North_RS	NS
-0.694848	-0.694848	0.046494	-3.222496	0.001271	0.529497	2.940886	3	North_RS	BS	South_RS	NS
-0.442616	-0.442616	0.057883	-1.839718	0.065810	0.639847	1.656045	3	North_RS	BS	Mid_RS	NS
