D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.047911	-0.047911	0.000001	-41.358652	0.000000	220327.348530	242501.738607	66369	South_RS	Mid_RS	North_RS	NS
0.044055	0.044055	0.000002	34.092847	0.000000	190779.539767	174679.246993	59808	South_RS	Mid_RS	BS	NS
-0.032557	-0.032557	0.000001	-30.304187	0.000000	220327.348530	235156.654199	66672	South_RS	North_RS	Mid_RS	NS
0.021094	0.021094	0.000001	20.948801	0.000000	260615.785858	249848.140586	70733	South_RS	North_RS	BS	NS
-0.186192	-0.186192	0.000002	-121.804844	0.000000	190779.539768	278076.744122	62064	South_RS	BS	Mid_RS	NS
-0.193298	-0.193298	0.000002	-147.714401	0.000000	260615.785858	385510.504041	72213	South_RS	BS	North_RS	NS
0.015377	0.015377	0.000001	13.482473	0.000000	242501.738607	235156.654199	67043	Mid_RS	North_RS	South_RS	NS
-0.017925	-0.017925	0.000001	-16.211605	0.000000	211326.107195	219040.421191	66521	Mid_RS	North_RS	BS	NS
-0.228374	-0.228374	0.000003	-144.250555	0.000000	174679.246993	278076.744121	61771	Mid_RS	BS	South_RS	NS
-0.169816	-0.169816	0.000002	-127.008429	0.000000	211326.107195	297780.499334	67273	Mid_RS	BS	North_RS	NS
-0.213521	-0.213521	0.000002	-157.135918	0.000000	249848.140586	385510.504040	71709	North_RS	BS	South_RS	NS
-0.152355	-0.152355	0.000002	-113.849971	0.000000	219040.421191	297780.499334	66816	North_RS	BS	Mid_RS	NS
