D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.047911	-0.047911	0.000001	-47.541119	0.000000	220327.348015	242501.738769	139401	South_RS	Mid_RS	North_RS	NS
0.044055	0.044055	0.000001	38.457617	0.000000	190779.539599	174679.246966	118473	South_RS	Mid_RS	BS	NS
-0.032557	-0.032557	0.000001	-34.349078	0.000000	220327.348015	235156.654025	139686	South_RS	North_RS	Mid_RS	NS
0.021094	0.021094	0.000001	23.674405	0.000000	260615.785719	249848.139862	154518	South_RS	North_RS	BS	NS
-0.186192	-0.186192	0.000002	-145.983868	0.000000	190779.539601	278076.743770	125885	South_RS	BS	Mid_RS	NS
-0.193298	-0.193298	0.000001	-182.273034	0.000000	260615.785719	385510.504073	160559	South_RS	BS	North_RS	NS
0.015377	0.015377	0.000001	15.361945	0.000000	242501.738769	235156.654026	141047	Mid_RS	North_RS	South_RS	NS
-0.017925	-0.017925	0.000001	-18.360039	0.000000	211326.107080	219040.420939	139956	Mid_RS	North_RS	BS	NS
-0.228374	-0.228374	0.000002	-175.316264	0.000000	174679.246966	278076.743767	124714	Mid_RS	BS	South_RS	NS
-0.169816	-0.169816	0.000001	-153.615942	0.000000	211326.107080	297780.498958	143097	Mid_RS	BS	North_RS	NS
-0.213521	-0.213521	0.000001	-195.746516	0.000000	249848.139862	385510.504074	157774	North_RS	BS	South_RS	NS
-0.152355	-0.152355	0.000001	-136.872551	0.000000	219040.420938	297780.498958	140659	North_RS	BS	Mid_RS	NS
