D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.058664	-0.058664	0.000003	-35.181447	0.000000	65253.051577	73386.150340	46034	South_RS	Mid_RS	North_RS	NS
0.058987	0.058987	0.000004	30.601075	0.000000	56089.790252	49841.230891	41421	South_RS	Mid_RS	BS	NS
-0.038717	-0.038717	0.000002	-25.032213	0.000000	65253.051577	70509.421512	45741	South_RS	North_RS	Mid_RS	NS
0.029205	0.029205	0.000002	19.331393	0.000000	75478.070263	71194.519371	47690	South_RS	North_RS	BS	NS
-0.223989	-0.223989	0.000004	-106.733851	0.000000	56089.790253	88469.417331	43095	South_RS	BS	Mid_RS	NS
-0.232825	-0.232825	0.000003	-130.120887	0.000000	75478.070263	121290.842981	48858	South_RS	BS	North_RS	NS
0.019992	0.019992	0.000003	12.281097	0.000000	73386.150340	70509.421512	46170	Mid_RS	North_RS	South_RS	NS
-0.023253	-0.023253	0.000003	-14.258809	0.000000	61336.920198	64257.326434	45866	Mid_RS	North_RS	BS	NS
-0.279286	-0.279286	0.000005	-131.031297	0.000000	49841.230891	88469.417330	42853	Mid_RS	BS	South_RS	NS
-0.207314	-0.207314	0.000003	-112.528116	0.000000	61336.920198	93420.183841	46649	Mid_RS	BS	North_RS	NS
-0.260260	-0.260260	0.000003	-142.199014	0.000000	71194.519371	121290.842980	48161	North_RS	BS	South_RS	NS
-0.184953	-0.184953	0.000003	-99.844515	0.000000	64257.326434	93420.183841	45910	North_RS	BS	Mid_RS	NS
